ID,Location,Language,NumberOfSpeakers
4,Arizona,Aleut languages,0
4,Arizona,Ojibwa,517
4,Arizona,Apache languages,6110
4,Arizona,Navajo,36235
4,Arizona,Dakota languages,380
4,Arizona,Muskogean languages,0
4,Arizona,Keres,0
4,Arizona,Cherokee,0
4,Arizona,Uto-Aztecan languages,7424
4,Arizona,Other Native North American languages,881
4,Arizona,Other Central and South American languages,0
4,Arizona,English only household,1929708
4,Arizona,Other and unspecified languages,643
5,Arkansas,Total Arkansas,1389159
5,Arkansas,N/A (GQ/vacant),225507
5,Arkansas,Jamaican Creole English,0
5,Arkansas,Other English-based Creole languages,0
5,Arkansas,Haitian,139
5,Arkansas,Kabuverdianu,0
5,Arkansas,German,3639
5,Arkansas,Swiss German,67
5,Arkansas,Pennsylvania German,0
5,Arkansas,Yiddish,0
5,Arkansas,Dutch,741
5,Arkansas,Afrikaans,178
5,Arkansas,Swedish,44
5,Arkansas,Danish,348
5,Arkansas,Norwegian,0
5,Arkansas,Italian,355
5,Arkansas,French,2306
5,Arkansas,Cajun French,0
5,Arkansas,Spanish,61878
5,Arkansas,Portuguese,384
5,Arkansas,Romanian,69
5,Arkansas,Irish,0
5,Arkansas,Greek,0
5,Arkansas,Albanian,104
5,Arkansas,Russian,334
5,Arkansas,Ukrainian,113
5,Arkansas,Czech,364
5,Arkansas,Slovak,0
5,Arkansas,Polish,704
5,Arkansas,Bulgarian,119
5,Arkansas,Macedonian,0
5,Arkansas,Serbocroatian,134
5,Arkansas,Bosnian,0
5,Arkansas,Croatian,0
5,Arkansas,Serbian,117
5,Arkansas,Lithuanian,0
5,Arkansas,Latvian,0
5,Arkansas,Armenian,0
5,Arkansas,Farsi,511
5,Arkansas,Dari,0
5,Arkansas,Kurdish,0
5,Arkansas,Pashto,188
5,Arkansas,India N.E.C.,0
5,Arkansas,Hindi,326
5,Arkansas,Urdu,485
5,Arkansas,Bengali,238
5,Arkansas,Punjabi,218
5,Arkansas,Konkani,76
5,Arkansas,Marathi,0
5,Arkansas,Gujarati,614
5,Arkansas,Nepali,40
5,Arkansas,Pakistan N.E.C.,0
5,Arkansas,Sinhala,69
5,Arkansas,Other Indo-Iranian languages,51
5,Arkansas,Other Indo-European languages,0
5,Arkansas,Finnish,418
5,Arkansas,Hungarian,97
5,Arkansas,Turkish,193
5,Arkansas,Mongolian,245
5,Arkansas,Telugu,1006
5,Arkansas,Kannada,0
5,Arkansas,Malayalam,43
5,Arkansas,Tamil,522
5,Arkansas,Khmer,0
5,Arkansas,Vietnamese,1465
5,Arkansas,Chinese,2378
5,Arkansas,Mandarin,86
5,Arkansas,Min Nan Chinese,0
5,Arkansas,Cantonese,145
5,Arkansas,Tibetan,0
5,Arkansas,Burmese,0
5,Arkansas,Chin languages,0
5,Arkansas,Karen languages,0
5,Arkansas,Thai,172
5,Arkansas,Lao,1341
5,Arkansas,Iu Mien,0
5,Arkansas,Hmong,619
5,Arkansas,Japanese,800
5,Arkansas,Korean,1261
5,Arkansas,Malay,0
5,Arkansas,Indonesian,0
5,Arkansas,Other languages of Asia,0
5,Arkansas,Filipino,665
5,Arkansas,Tagalog,1288
5,Arkansas,Cebuano,0
5,Arkansas,Ilocano,0
5,Arkansas,Other Philippine languages,0
5,Arkansas,Chamorro,0
5,Arkansas,Marshallese,729
5,Arkansas,Chuukese,0
5,Arkansas,Samoan,162
5,Arkansas,Tongan,0
5,Arkansas,Hawaiian,0
5,Arkansas,Other Eastern Malayo-Polynesian languages,0
5,Arkansas,Arabic,449
5,Arkansas,Hebrew,0
5,Arkansas,Assyrian Neo-Aramaic,0
5,Arkansas,Chaldean Neo-Aramaic,0
5,Arkansas,Amharic,0
5,Arkansas,Tigrinya,0
5,Arkansas,Oromo,0
5,Arkansas,Somali,0
5,Arkansas,Other Afro-Asiatic languages,0
5,Arkansas,Nilo-Saharan languages,0
5,Arkansas,Swahili,451
5,Arkansas,Ganda,0
5,Arkansas,Shona,0
5,Arkansas,Other Bantu languages,0
5,Arkansas,Manding languages,51
5,Arkansas,Other Mande languages,0
5,Arkansas,Fulah,0
5,Arkansas,Wolof,179
5,Arkansas,Akan (incl. Twi),319
5,Arkansas,Ga,0
5,Arkansas,Gbe languages,0
5,Arkansas,Yoruba,0
5,Arkansas,Edoid languages,0
5,Arkansas,Igbo,0
5,Arkansas,Other Niger-Congo languages,0
5,Arkansas,Other languages of Africa,0
5,Arkansas,Aleut languages,0
5,Arkansas,Ojibwa,0
5,Arkansas,Apache languages,0
5,Arkansas,Navajo,0
5,Arkansas,Dakota languages,0
5,Arkansas,Muskogean languages,197
5,Arkansas,Keres,0
5,Arkansas,Cherokee,76
5,Arkansas,Uto-Aztecan languages,0
5,Arkansas,Other Native North American languages,0
5,Arkansas,Other Central and South American languages,0
5,Arkansas,English only household,1072966
5,Arkansas,Other and unspecified languages,376
6,California,Total California,14367012
6,California,N/A (GQ/vacant),1209125
6,California,Jamaican Creole English,2145
6,California,Other English-based Creole languages,576
6,California,Haitian,4870
6,California,Kabuverdianu,178
6,California,German,57611
6,California,Swiss German,1234
6,California,Pennsylvania German,0
6,California,Yiddish,1405
6,California,Dutch,12684
6,California,Afrikaans,3550
6,California,Swedish,8373
6,California,Danish,3654
6,California,Norwegian,1945
6,California,Italian,31340
6,California,French,74823
6,California,Cajun French,0
6,California,Spanish,3433919
6,California,Portuguese,45679
6,California,Romanian,10962
6,California,Irish,1351
6,California,Greek,12668
6,California,Albanian,1556
6,California,Russian,79830
6,California,Ukrainian,8124
6,California,Czech,2639
6,California,Slovak,1254
6,California,Polish,12263
6,California,Bulgarian,3899
6,California,Macedonian,239
6,California,Serbocroatian,490
6,California,Bosnian,585
6,California,Croatian,3336
6,California,Serbian,2827
6,California,Lithuanian,1571
6,California,Latvian,1243
6,California,Armenian,79515
6,California,Farsi,97403
6,California,Dari,3872
6,California,Kurdish,464
6,California,Pashto,4304
6,California,India N.E.C.,2771
6,California,Hindi,82602
6,California,Urdu,18510
6,California,Bengali,11636
6,California,Punjabi,43865
6,California,Konkani,825
6,California,Marathi,7703
6,California,Gujarati,20358
6,California,Nepali,4015
6,California,Pakistan N.E.C.,34
6,California,Sinhala,3117
6,California,Other Indo-Iranian languages,1845
6,California,Other Indo-European languages,2304
6,California,Finnish,1225
6,California,Hungarian,8020
6,California,Turkish,8550
6,California,Mongolian,1530
6,California,Telugu,26829
6,California,Kannada,7122
6,California,Malayalam,8302
6,California,Tamil,20980
6,California,Khmer,24342
6,California,Vietnamese,196626
6,California,Chinese,265061
6,California,Mandarin,138642
6,California,Min Nan Chinese,14321
6,California,Cantonese,104842
6,California,Tibetan,1025
6,California,Burmese,8144
6,California,Chin languages,171
6,California,Karen languages,59
6,California,Thai,21459
6,California,Lao,13974
6,California,Iu Mien,4505
6,California,Hmong,19789
6,California,Japanese,69389
6,California,Korean,160442
6,California,Malay,1016
6,California,Indonesian,12698
6,California,Other languages of Asia,3393
6,California,Filipino,49115
6,California,Tagalog,273790
6,California,Cebuano,6126
6,California,Ilocano,8422
6,California,Other Philippine languages,2858
6,California,Chamorro,1803
6,California,Marshallese,0
6,California,Chuukese,157
6,California,Samoan,8265
6,California,Tongan,3912
6,California,Hawaiian,1262
6,California,Other Eastern Malayo-Polynesian languages,3325
6,California,Arabic,73317
6,California,Hebrew,22713
6,California,Assyrian Neo-Aramaic,6972
6,California,Chaldean Neo-Aramaic,1499
6,California,Amharic,12361
6,California,Tigrinya,4862
6,California,Oromo,0
6,California,Somali,3498
6,California,Other Afro-Asiatic languages,2620
6,California,Nilo-Saharan languages,147
6,California,Swahili,5884
6,California,Ganda,1169
6,California,Shona,470
6,California,Other Bantu languages,3003
6,California,Manding languages,0
6,California,Other Mande languages,832
6,California,Fulah,127
6,California,Wolof,0
6,California,Akan (incl. Twi),1584
6,California,Ga,232
6,California,Gbe languages,145
6,California,Yoruba,2738
6,California,Edoid languages,741
6,California,Igbo,5879
6,California,Other Niger-Congo languages,1273
6,California,Other languages of Africa,1416
6,California,Aleut languages,432
6,California,Ojibwa,321
6,California,Apache languages,0
6,California,Navajo,168
6,California,Dakota languages,0
6,California,Muskogean languages,101
6,California,Keres,0
6,California,Cherokee,0
6,California,Uto-Aztecan languages,805
6,California,Other Native North American languages,1118
6,California,Other Central and South American languages,3577
6,California,English only household,7280559
6,California,Other and unspecified languages,1867
8,Colorado,Total Colorado,2464109
8,Colorado,N/A (GQ/vacant),228990
8,Colorado,Jamaican Creole English,97
8,Colorado,Other English-based Creole languages,19
8,Colorado,Haitian,135
8,Colorado,Kabuverdianu,0
8,Colorado,German,15522
8,Colorado,Swiss German,334
8,Colorado,Pennsylvania German,128
8,Colorado,Yiddish,134
8,Colorado,Dutch,535
8,Colorado,Afrikaans,684
8,Colorado,Swedish,1969
8,Colorado,Danish,389
8,Colorado,Norwegian,901
8,Colorado,Italian,3490
8,Colorado,French,11621
8,Colorado,Cajun French,312
8,Colorado,Spanish,255191
8,Colorado,Portuguese,2528
8,Colorado,Romanian,1272
8,Colorado,Irish,139
8,Colorado,Greek,1019
8,Colorado,Albanian,360
8,Colorado,Russian,8157
8,Colorado,Ukrainian,549
8,Colorado,Czech,995
