Language,NumberOfSpeakers,SpeakEnglishLessThanVeryWell,ISO
Cushite,122445,59495,
Sudanic,8510,3935,
Nilotic,6890,2235,
Nilo-Hamitic,1275,575,
Nubian,305,185,
Saharan,80,(D),
Nilo-Saharan,270,155,
Khoisan,55,20,
Swahili,88685,22055,swh
Bantu,56685,16635,
Mande,29835,10370,
Fulani,30475,11745,
Gur,1310,405,
"Kru, Ibo, Yoruba",322255,64690,
Efik,5620,905,efi
Mbum,715,370,mdd
Finnish,25805,4350,fin
Estonian,6035,1335,est
Lapp,(D),(B),
Basque,1860,635,eus
Syriac,74725,33600,
Aztecan,720,400,
Sonoran,60,60,
Misumalpan,95,35,
Tarascan,60,40,
Mapuche,210,195,
Oto - Manguen,5100,4425,
Quechua,1300,1000,
Arawakian,3150,925,
Chibchan,1095,865,
Tupi-Guarani,245,155,
