GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US30027	"Fergus County, Montana"	10516	373	108	211	0	54
US30029	"Flathead County, Montana"	94201	3200	1751	1025	310	114
US30031	"Gallatin County, Montana"	101919	4343	1864	1276	736	467
US30033	"Garfield County, Montana"	967	2	0	0	0	2
US30035	"Glacier County, Montana"	12475	475	122	107	26	220
US30037	"Golden Valley County, Montana"	705	33	18	13	2	0
US30039	"Granite County, Montana"	3188	40	26	10	0	4
US30041	"Hill County, Montana"	14984	362	108	126	41	87
US30043	"Jefferson County, Montana"	11448	148	54	64	0	30
US30045	"Judith Basin County, Montana"	1860	35	3	32	0	0
US30047	"Lake County, Montana"	28169	1351	358	186	125	682
US30049	"Lewis and Clark County, Montana"	63957	1718	974	461	153	130
US30051	"Liberty County, Montana"	2236	536	0	536	0	0
US30053	"Lincoln County, Montana"	18696	990	340	522	57	71
US30055	"McCone County, Montana"	1673	116	47	69	0	0
US30057	"Madison County, Montana"	7982	334	260	41	10	23
US30059	"Meagher County, Montana"	1736	47	25	15	0	7
US30061	"Mineral County, Montana"	4065	55	41	1	7	6
US30063	"Missoula County, Montana"	111494	5532	1669	1782	1433	648
US30065	"Musselshell County, Montana"	4575	182	5	106	43	28
US30067	"Park County, Montana"	15589	369	144	189	28	8
US30069	"Petroleum County, Montana"	419	9	0	9	0	0
US30071	"Phillips County, Montana"	3798	81	65	5	3	8
US30073	"Pondera County, Montana"	5563	262	2	205	2	53
US30075	"Powder River County, Montana"	1501	22	2	20	0	0
US30077	"Powell County, Montana"	6603	219	46	108	2	63
US30079	"Prairie County, Montana"	1199	51	7	44	0	0
US30081	"Ravalli County, Montana"	40594	1419	446	685	84	204
US30083	"Richland County, Montana"	10513	561	491	61	0	9
US30085	"Roosevelt County, Montana"	10155	479	118	76	10	275
US30087	"Rosebud County, Montana"	8485	828	201	122	10	495
US30089	"Sanders County, Montana"	11138	400	85	244	39	32
US30091	"Sheridan County, Montana"	3251	45	31	8	6	0
US30093	"Silver Bow County, Montana"	32722	1038	305	348	45	340
US30095	"Stillwater County, Montana"	9036	314	202	62	47	3
US30097	"Sweet Grass County, Montana"	3508	45	27	5	13	0
US30099	"Teton County, Montana"	5687	144	15	126	3	0
US30101	"Toole County, Montana"	4631	375	157	191	13	14
US30103	"Treasure County, Montana"	633	30	3	7	20	0
US30105	"Valley County, Montana"	7039	174	78	51	24	21
US30107	"Wheatland County, Montana"	2011	358	49	292	7	10
US30109	"Wibaux County, Montana"	1007	67	47	0	15	5
US30111	"Yellowstone County, Montana"	149004	5847	2519	1432	724	1172
US31001	"Adams County, Nebraska"	29578	2548	2124	79	280	65
US31003	"Antelope County, Nebraska"	5931	241	188	42	11	0
US31005	"Arthur County, Nebraska"	412	21	21	0	0	0
US31007	"Banner County, Nebraska"	659	37	27	0	10	0
US31009	"Blaine County, Nebraska"	450	7	4	3	0	0
US31011	"Boone County, Nebraska"	4950	78	51	24	0	3
US31013	"Box Butte County, Nebraska"	10255	909	679	52	117	61
US31015	"Boyd County, Nebraska"	1860	36	2	5	25	4
US31017	"Brown County, Nebraska"	2861	103	31	63	9	0
US31019	"Buffalo County, Nebraska"	45858	3649	2553	411	490	195
US31021	"Burt County, Nebraska"	6179	163	112	27	22	2
US31023	"Butler County, Nebraska"	7555	415	236	122	31	26
US31025	"Cass County, Nebraska"	24390	536	398	111	13	14
US31027	"Cedar County, Nebraska"	7936	100	88	12	0	0
US31029	"Chase County, Nebraska"	3599	422	386	18	18	0
US31031	"Cherry County, Nebraska"	5381	72	50	12	0	10
US31033	"Cheyenne County, Nebraska"	8954	276	187	65	2	22
US31035	"Clay County, Nebraska"	5786	448	386	62	0	0
US31037	"Colfax County, Nebraska"	9762	4444	4069	64	71	240
US31039	"Cuming County, Nebraska"	8396	722	694	16	12	0
US31041	"Custer County, Nebraska"	10143	406	318	79	8	1
US31043	"Dakota County, Nebraska"	18435	7897	6600	150	337	810
US31045	"Dawes County, Nebraska"	8362	162	82	48	26	6
US31047	"Dawson County, Nebraska"	21702	6573	5701	34	111	727
US31049	"Deuel County, Nebraska"	1726	46	30	9	7	0
US31051	"Dixon County, Nebraska"	5321	588	574	7	2	5
US31053	"Dodge County, Nebraska"	34186	4096	3664	271	107	54
US31055	"Douglas County, Nebraska"	518358	79199	48406	11119	12414	7260
US31057	"Dundy County, Nebraska"	1784	217	217	0	0	0
US31059	"Fillmore County, Nebraska"	5277	196	120	59	15	2
US31061	"Franklin County, Nebraska"	2839	78	43	24	11	0
US31063	"Frontier County, Nebraska"	2511	18	15	0	1	2
US31065	"Furnas County, Nebraska"	4467	146	141	3	2	0
US31067	"Gage County, Nebraska"	20347	532	301	118	110	3
US31069	"Garden County, Nebraska"	1785	87	80	4	3	0
US31071	"Garfield County, Nebraska"	1912	22	3	15	4	0
US31073	"Gosper County, Nebraska"	1936	67	59	6	2	0
US31075	"Grant County, Nebraska"	665	2	0	0	0	2
US31077	"Greeley County, Nebraska"	2231	68	45	21	0	2
US31079	"Hall County, Nebraska"	56561	12708	11013	310	632	753
US31081	"Hamilton County, Nebraska"	8651	225	164	31	25	5
US31083	"Harlan County, Nebraska"	3209	95	89	2	0	4
US31085	"Hayes County, Nebraska"	834	73	73	0	0	0
US31087	"Hitchcock County, Nebraska"	2653	24	16	8	0	0
US31089	"Holt County, Nebraska"	9541	414	327	67	6	14
US31091	"Hooker County, Nebraska"	668	15	10	5	0	0
US31093	"Howard County, Nebraska"	6027	153	102	46	5	0
US31095	"Jefferson County, Nebraska"	6745	216	158	43	15	0
US31097	"Johnson County, Nebraska"	4926	470	375	0	93	2
US31099	"Kearney County, Nebraska"	6109	239	222	12	5	0
US31101	"Keith County, Nebraska"	7699	420	224	134	53	9
US31103	"Keya Paha County, Nebraska"	720	11	11	0	0	0
US31105	"Kimball County, Nebraska"	3492	133	108	24	0	1
US31107	"Knox County, Nebraska"	7884	396	152	161	14	69
US31109	"Lancaster County, Nebraska"	293073	33221	12226	7105	9933	3957
US31111	"Lincoln County, Nebraska"	33208	1724	1083	351	181	109
US31113	"Logan County, Nebraska"	865	36	34	2	0	0
US31115	"Loup County, Nebraska"	566	0	0	0	0	0
US31117	"McPherson County, Nebraska"	383	3	0	3	0	0
US31119	"Madison County, Nebraska"	32506	4519	4013	113	375	18
US31121	"Merrick County, Nebraska"	7306	438	305	93	40	0
US31123	"Morrill County, Nebraska"	4491	452	423	14	14	1
US31125	"Nance County, Nebraska"	3346	52	19	33	0	0
US31127	"Nemaha County, Nebraska"	6586	193	118	21	49	5
US31129	"Nuckolls County, Nebraska"	4021	150	53	35	62	0
US31131	"Otoe County, Nebraska"	14853	907	818	34	44	11
US31133	"Pawnee County, Nebraska"	2486	212	26	170	0	16
US31135	"Perkins County, Nebraska"	2707	143	102	41	0	0
US31137	"Phelps County, Nebraska"	8574	298	241	57	0	0
US31139	"Pierce County, Nebraska"	6680	93	57	14	21	1
US31141	"Platte County, Nebraska"	30774	5176	4911	134	106	25
US31143	"Polk County, Nebraska"	4959	298	247	30	3	18
US31145	"Red Willow County, Nebraska"	10165	227	174	51	0	2
US31147	"Richardson County, Nebraska"	7527	63	21	34	0	8
