Language,Translation,Filename,DriveID,Script,Source
japanese,Good morning,Japanese_goodmorning1_jp.mp3,1Yhdy_cXOSAgQMwXENBRMKO07fR8vYTbn,?????????ï¿½(ohay? gozaimasu),https://omniglot.com/soundfiles/
korean,What's your name?,Korean_name1_kr.mp3,1xUNBA6StOEQLcTWJq-soDAbiTtK8wvKl,??? ?????? (ireumeun mueosip nikka?) - inf,https://omniglot.com/soundfiles/
mandarin,How much is this?,Mandarin_howmuch_mandarin.mp3,1vf6tPc5qOfxyzzZjtv4OiENQaOSqmV0N,,https://omniglot.com/soundfiles/
russian,How are you?,Russian_howareyou2_ru.mp3,11oS-1ThaNAfsF0SZxNwIor1PS-Z8ry-e,?????? (Zhï¿½ge du?sh?o qiï¿½n?),https://omniglot.com/soundfiles/
spanish,Would you like to dance with me?,Spanish_DanceWithMe.mp3,1VenLx-xRaV8t_bcF7al54PQuJ5Sr1Gmh,ï¿½Querrï¿½as bailar conmigo? (inf),https://omniglot.com/soundfiles/
tagalog,Happy Birthday!,Tagalog_birthday_tagalog.mp3,1Nc6OroTyt5mqex9Y3Q36AP0JH6XxAOZ_,Maligayang kaarawan (Happy Birthday),https://omniglot.com/soundfiles/
thai,My hovercraft is full of eels,Thai_hovercraft_th.mp3,1cTIkSbJnLRNFmGuESawoE-639Rd1AmFK,"?????????????????????????????????? (hoh wer-krï¿½af k?ng p?m dtem-bpai-dï¿½ay bplaa l?i) - m
",https://omniglot.com/soundfiles/
turkish,Pleased to meet you,Turkish_meet_tr.mp3,1yN_CWSub_rnn5jU4GdeneDh2sUZhMmIG,Tan??t???m?za memnun oldum,https://omniglot.com/soundfiles/
vietnamese,Have a good journey!,Vietnamese_bonvoyage1_th.mp3,12x-PplfBuJ7bctafxOUsgyJ8OlzbzXvT,Lï¿½n ????ng bi?nh an,https://omniglot.com/soundfiles/
portugese,Have a nice day!,Portugese_haveaniceday_pt.mp3,1yNnOGtImvfJnAguJi-uoecACFKtTTq8p,Tem um bom dia!,https://omniglot.com/soundfiles/
hindi,Where are you from?,Hindi_wherefrom2_hindi.mp3,1iRFCdZ9a-fpDEiyevp-J28xw8RS-kK5T,??? ???? ?? (??) ??? (tum kah?? se (?e) ho?) - inf,https://omniglot.com/soundfiles/
polish,What's your name?,Polish_name5_pl.mp3,1XMZvP0egFoNeNyBV53CBiAov9gF16vWt,Jak si? nazywasz?ï¿½(inf),https://omniglot.com/soundfiles/
cantonese,Please say that again,Cantonese_could_you_repeat_that.mp3,1vOOeFwXPwUGv94YkvZG9Etf1HaldHnky,????????? (m?hgï¿½i nï¿½ih gï¿½ng d? y?tchi a),https://omniglot.com/soundfiles/
urdu,How are you?,Urdu_howareyou.mp3,1xNSVyJx9duIXNmEBExKdZQ6k5-jzc0aS,?? ???? ???,https://www.soundboard.com/sb/sound/146520
persian,Where are you from?,Persian_whereareufrom1_fa.mp3,16viAiS1swPTP7X5mfOORy12v8uPtM7SG, (shoma ahleh koja hastid?) ??? ??? ??? ??????,https://omniglot.com/soundfiles/
gujarati,Pleased to meet you,Gujarati_meet_gujarati.mp3,1NKCNJ_3Xutl7mTh9XzfPOTJ1mDXKtxyO,???? ????? ???? ???ï¿½(tamne maline anand thaiyo),https://omniglot.com/soundfiles/
greek,What's your name?,Greek_whatsyourname8_el.mp3,1gKRq2tHmyXUkaq09f1r7q_1V_3WT7f-z,???? ????? ?? ????? ???;ï¿½(Pyï¿½ ï¿½ne to ï¿½nomï¿½ su?) - inf,https://omniglot.com/soundfiles/
panjabi,Long time no see,,,??? ??? ??? ????? ???? ???? ?? ! /ï¿½??? ??? ??? ????? ??? ???? ???! (ba?? der ton tus?? na?ar nah?? ?e!),https://omniglot.com/soundfiles/
armenian,Have a nice day!,Armenian_haveaniceday_ar.mp3,1EH_tEyR1hOyiZYQaSpptqNNmEguO9hn4,???????? ??? ??ï¿½(Maghtynen lav or),https://omniglot.com/soundfiles/
hebrew,Good afternoon,Hebrew_goodafternoon_hb.mp3,1mbXrOemRaqxvE3DWGjFpfPXjL70RT4IM,(Achar tzahara'im tovim)ï¿½??? ?????? ?????,https://omniglot.com/soundfiles/
tamil,Pleased to meet you,Tamil_meet-f2_ta.mp3,1xE8NSVdxn4BIylUzJQMExvFMuzHEuWFb,?????? ????????? ??????? ???????? (ungalai paarthathu migavum sandhosham),https://omniglot.com/soundfiles/
navajo,Thank you,Navajo_thanks_nav.mp3,1OpGvOQf82NW7u76FaJbmhu_meG9YK_bu,Ahï¿½hee',https://omniglot.com/soundfiles/
yiddish,Pleased to meet you,Yiddish_meet_yd.mp3,1sCs3h7YU409iNJ61xTOTE7rYu9P13goh,?? ????? ??? ??? ?? ????? (Es freyt mir dikh tsu kenen),https://omniglot.com/soundfiles/
romanian,Pleased to meet you,Romanian_meet1_ro.mp3,1FRxE0y8e9m4UBkvuemaZgy91l_UBAUOd,ï¿½mi pare bine de cuno?tin??,https://omniglot.com/soundfiles/
laotian,Hello,Laotian_hello.mp3,1r409Kg0_R1tnFFwmWMnop65sJM9lOEWs,??????? (sabaidi),https://www.youtube.com/watch?v=4ODSwhiyO5E
malayalam,Pleased to meet you,Malayalam_meet_ml.mp3,1B9J_JwWbX_xz88TMqP7_YLi72UYJE_19,????????? ???????ï¿½(kantathil santhosham),https://omniglot.com/soundfiles/
dutch,Excuse me,Dutch_excuseme_nl.mp3,19rTCb9Mp9o4BJEuoy7q-GxKdCXJZFiNc,Neem me niet kwalijk,https://omniglot.com/soundfiles/
nepali,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Nepali_udhr_ne.mp3,1G6Z1F1BQxEBfa8NGgmfClYISGr_uxHB6,Sabai vyaktihar? janmaj?t svatantra hun t? sabaik? sam?n adhik?r ra mahatva cha. Nijahar?m? vic?ra?akti ra sadvic?r bha?k?l? nijahar?l? ?pastm? bhr?tr?tvak? bh?van?b?? vyavah?r garanu parcha.,https://omniglot.com/soundfiles/
swahili,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Swahili_udhr_swahili.mp3,1BABqzTPaABpf9T7O-7SFCIoDhi3W95bn,"Watu wote wamezaliwa huru, hadhi na haki zao ni sawa. Wote wamejaliwa akili na dhamiri, hivyo yapasa watendeane kindugu.",
hungarian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Hungarian_udhr_hu.mp3,1xU6qDa6FOqCoKeoV5hxhVe3yQ9Nj5djB,"Minden emberi lï¿½ny szabadon szï¿½letik ï¿½s egyenl? mï¿½ltï¿½sï¿½ga ï¿½s joga van. Az emberek, ï¿½sszel ï¿½s lelkiismerettel bï¿½rvï¿½n, egymï¿½ssal szemben testvï¿½ri szellemben kell hogy viseltessenek.",
marathi,Long time no see,Marathi_longtimenosee_mr.mp3,1E1tN3p_0XeCFXNXMey6VdaQw6QTisQXL,??? ?????? ????? ???? (khup divas?t bhetalo n?hi),
indonesian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Indonesian_udhr_in.mp3,1kEwumWY9CoTgmwS1U8nHRHTwKd7rCqFM,Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.,
burmese,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,,,??????????? ???? ?????????? ??????????????? ??????????? ?????????????? ??????????????????? ??????????? ???????????????? ???????? ?????????? ?????????? ??????????? ????????? ???????? ???????? ?????????????? ???????????? ??????????? ?????????? ????????????????????,
bulgarian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,bulgarian_udhr_bg.mp3,1Eg1v1UKV-gWEQSq1iY_cdMO7S_kLJzWL,?????? ???? ?? ?????? ???????? ? ????? ?? ??????????? ? ?????. T? ?? ???????? ? ????? ? ?????? ? ?????? ?? ?? ??????? ??????? ?? ? ??? ?? ????????.,
swedish,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Swedish_udhr2_sv.mp3,1228bfe-pAdOkHVDp4BDOcLSmZfQvggUw,Alla mï¿½nniskor ï¿½r fï¿½dda fria och lika i vï¿½rdighet och rï¿½ttigheter. De ï¿½r utrustade med fï¿½rnuft och samvete och bï¿½r handla gentemot varandra i en anda av broderskap.,
norwegian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Norwegian_udhr_no.mp3,1qDGw1KhIfNsTBwONOs2kD2G-vmuFjoc-,Alle mennesker er fï¿½dt frie og med samme menneskeverd og menneskerettigheter. De er utstyrt med fornuft og samvittighet og bï¿½r handle mot hverandre i brorskapets ï¿½nd.,
icelandic,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Icelandic_udhr_is.mp3,1QmU6RMWHrGexhoKoQ-u_KrlRqXb8HMpS,"Hver maï¿½ur er borinn frjï¿½ls og jafn ï¿½ï¿½rum aï¿½ virï¿½ingu og rï¿½ttindum. Menn eru gï¿½ddir vitsmunum og samvisku, og ber ï¿½eim aï¿½ breyta brï¿½ï¿½urlega hverjum viï¿½ annan.",
danish,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Danish_udhr_dk.mp3,1KUiiDWr6dWMTNyAON-joOPRG8ea9dUje,"Alle mennesker er fï¿½dt frie og lige i vï¿½rdighed og rettigheder. De er udstyret med fornuft og samvittighed, og de bï¿½r handle mod hverandre i en broderskabets ï¿½nd.",
faroese,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Faroese_udhr_faroese.mp3,1vVTxlyM5JlSl8ydpcfcheQRlfVe_OU87,ï¿½ll menniskju eru fï¿½dd frï¿½ls og jï¿½vn til virï¿½ingar og mannarï¿½ttindi. Tey hava skil og samvitsku og eiga at fara hvï¿½rt um annaï¿½ ï¿½ brï¿½ï¿½uranda.,
croatian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Croatian_udhr_hr.mp3,1VQEXXf5XEYtSRaAmZQ1pY5atFnyay6Tl,Sva ljudska bi?a ra?aju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svijeï¿½?u i trebaju jedna prema drugima postupati u duhu bratstva.,
czech,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Czech_udhr_cz.mp3,1xscqM3k_uPSs_5NYX8ATzV5Q-1s-l6s3,Vï¿½ichni lidï¿½ se rodï¿½ svobodnï¿½ a sob? rovnï¿½ co do d?stojnosti a prï¿½v. Jsou nadï¿½ni rozumem a sv?domï¿½m a majï¿½ spolu jednat v duchu bratrstvï¿½.,
lithuanian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,lithuanian_udhr_lt.mp3,1SoGtD9haSDn-7Se30uTZI6R-7_EJKFM2,Visi ï¿½mon?s gimsta laisvi ir lyg?s savo orumu ir teis?mis. Jiems suteiktas protas ir s?ï¿½in? ir jie turi elgtis vienas kito atï¿½vilgiu kaip broliai.,
latvian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,latvian_udhr_latvian.mp3,1FShKIhPXFBxc0CK2Ms1YmmYeKZ-ewSl9,"Visi cilv?ki piedzimst br?vi un vienl?dz?gi sav? paï¿½cie?? un ties?b?s. Vi?i ir apvelt?ti ar sapr?tu un sirdsapzi?u, un vi?iem j?izturas citam pret citu br?l?bas gar?.",
fijian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,fijian_udhr_fijian.mp3,1OCz1uu1xqmRqDEQGUswzsyBwnY9p81Ys,"Era sucu ena galala na tamata yadua, era tautauvata ena nodra dokai kei na nodra dodonu. E tiko na nodra vakasama kei na nodra lewaeloma, sa dodonu mera veidokadokai ena yalo ni veitacini.",
maori,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Maori_udhr_maori.mp3,1G0_4_t6T_Z3Ut9WfiDeK-q2FL_4EZncB,"Ko te katoa o nga tangata i te whanaungatanga mai e watea ana i nga here katoa; e tauriterite ana hoki nga mana me nga tika. E whakawhiwhia ana hoki ki a ratou te ngakau whai whakaaro me te hinengaro mohio ki te tika me te he, a e tika ana kia meinga te mahi a tetahi ki tetahi me ma roto atu i te wairua o te noho tahi, ano he teina he tuakana i ringa i te whakaaro kotahi.",
malay,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Malay_udhr_ms.mp3,1h-F0YrA-clWOH26qZSRYTIArcfSiXiWc,Semua manusia dilahirkan bebas dan samarata dari segi kemuliaan dan hak-hak. Mereka mempunyai pemikiran dan perasaan hati dan hendaklah bertindak di antara satu sama lain dengan semangat persaudaraan.,
javanese,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Javanese_udhr_javanese.mp3,1VkAR4QwtUXEIltP5bwwObMHdyY8zZajX,????????????????????????????????????????????????????????? ?????????????????????????????????? ????????????????????? ??????????????????????????????????,
kurdish,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Kurdish_udhr_kurdish.mp3,1D2snVluiz3Ka6bfKF92DIXn1hk7I1gf_,Hemï¿½ mirov azad ï¿½ di weqar ï¿½ mafan de wekhev tï¿½n dinyayï¿½. Ew xwedï¿½ hi? ï¿½ ?uï¿½r in ï¿½ divï¿½ li hember hev bi zihniyeteke bratiyï¿½ bilivin.,
slovak,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Slovak_udhr_sk.mp3,1Is0nhErecfbpUZz7JfxBDkicSZyIqJm_,"Vï¿½etci ?udia sa rodia slobodnï¿½ a sebe rovnï¿½, ?o sa tï¿½ka ich dostï¿½jnosti a prï¿½v. Sï¿½ obdarenï¿½ rozumom a majï¿½ navzï¿½jom jedna? v bratskom duchu.",
finnish,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Finnish_udhr2_fi.mp3,1KyqDc80eOFDGJPKGuGEow9u9hSaocbPY,"Kaikki ihmiset syntyvï¿½t vapaina ja tasavertaisina arvoltaan ja oikeuksiltaan. Heille on annettu jï¿½rki ja omatunto, ja heidï¿½n on toimittava toisiaan kohtaan veljeyden hengessï¿½.",
estonian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Estonian_udhr_et.mp3,17O_WSvUZekj7-Evc0gyzQlIapb48YGIE,Kï¿½ik inimesed sï¿½nnivad vabadena ja vï¿½rdsetena oma vï¿½ï¿½rikuselt ja ï¿½igustelt. Neile on antud mï¿½istus ja sï¿½dametunnistus ja nende suhtumist ï¿½ksteisesse peab kandma vendluse vaim.,
catalonian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,catalonian_udhr_catalan.mp3,1c2-PyNyE6KnN4yLRA79_ZKMQx7_QQQyb,"Tots els ï¿½ssers humans neixen lliures i iguals en dignitat i en drets. Sï¿½n dotats de raï¿½ i de consciï¿½ncia, i han de comportar-se fraternalment els uns amb els altres.",
azerbaijani,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,azerbaijani_udhr_azturk.mp3,19e7L1vTrXe54rEyTwBrBSv3JjkAjD0uM,????? ???????? ??????? ?? ??????????? ???? ???? ??????? ??????????. ??????? ???????? ?? ?????????? ??? ?? ???-????????? ??????????? ????????? ??????? ????????????????.,
basque,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,,,"Gizon-emakume guztiak aske jaiotzen dira, duintasun eta eskubide berberak dituztela; eta ezaguera eta kontzientzia dutenez gero, elkarren artean senide legez jokatu beharra dute.",
kashmiri,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Kashmiri_udhr_kashmiri.mp3,1bTgJ5x_vBpQiZhiCmjqjqixD1vQ4jqhx,???? ???? ???? ????? ??? ??? ?????? ????? ?????. ???? ????? ???? ??? ???? ???? ????. ???? ???? ???? ????? ?????? ???? ?????.,
scottic gaelic,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,,,"Rugadh na h-uile duine saor agus co-ionnan nan urram 's nan cï¿½irichean. Tha iad reusanta is cogaiseach, agus bu chï¿½ir dhaibh a ghiï¿½lain ris a chï¿½ile ann an spiorad brï¿½thaireil.",
